# height       pressure        temp         density         n_total
#     km             Pa           K           kg/m3             m-3
       0      1.023e+05         288       1.230e+00       2.570e+25
       1      8.913e+04         282       1.122e+00       2.291e+25
       2      7.943e+04         275       1.000e+00       2.042e+25
       3      7.079e+04         269       9.120e-01       1.905e+25
       4      6.166e+04         262       8.128e-01       1.698e+25
       5      5.370e+04         256       7.413e-01       1.549e+25
       6      4.677e+04         249       6.607e-01       1.380e+25
       8      3.548e+04         236       5.248e-01       1.096e+25
      10      2.630e+04         223       4.169e-01       9.550e+24
      15      1.202e+04         217       1.950e-01       4.074e+24
      20      5.623e+03         217       8.913e-02       1.862e+24
      30      1.202e+03         230       1.820e-02       3.802e+23
      40      2.951e+02         253       4.074e-03       8.318e+22
      50      8.128e+01         273       1.047e-03       2.188e+22
      60      2.291e+01         246       3.162e-04       6.607e+21
      70      5.370e+00         216       8.511e-05       1.820e+21
      80      1.000e+00         183       1.905e-05       3.981e+20
      90      1.549e-01         183       3.548e-06       6.310e+19
     100      2.951e-02         210       5.012e-07       9.550e+18
     110      7.244e-03         260       1.000e-07       1.950e+18
     120      2.692e-03         390       2.399e-08       4.898e+17
     150      4.786e-04         780       2.138e-09       4.571e+16
     200      8.710e-05        1200       3.162e-10       7.244e+15
     250      2.818e-05        1400       7.943e-11       1.995e+15
     300      1.000e-05        1500       2.512e-11       7.943e+14
